Waktu (WIB),Nomor WhatsApp,Nama Pelanggan,Status Lead,Kategori Niat,Suhu & Skor,Admin Bertugas,Pesan Masuk,Ringkasan AI,Draf Balasan CS,Tindakan Operasional,Status Follow-Up
"23/9/2026, 21.25.32","6280018188","Sema","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.32","6280018187","Satria","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.32","6280017186","CeritaPanerusan","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.31","6280017185","inggar evelyn","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.31","6280017184","Ayara Amaratya","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.31","6280017182","Mufti","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.31","6280017181","Diana","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.31","6280017180","Dhabi","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.31","6280017179","Mayor Hartadi","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.31","6280017178","Echi","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.30","6280017176","Adelia","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.30","6280016175","Adkesma Fikes","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.30","6280016173","Sifa","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.30","6280016171","Dita","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.30","6280016169","Lyra","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.30","6280016168","ulfa","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.29","6280016167","Nabilla","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.29","6280016166","Sultan Athar Pasha","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.29","6280016165","Wasis Rifky","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.29","6280015164","Tsany","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.29","6280015163","Cia","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.29","6280015162","Suhaimah","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.29","6280015161","Ade Evan","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.28","6280015160","Mukti Muadzin","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.28","6280015159","Lodaya Sasindo","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.28","6280015158","Yohana","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.28","6280015157","Laela","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.28","6280015155","Yuza","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.28","6280015153","Kharisma","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.28","6280015152","Rahes","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.27","6280014151","Azzra","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.27","6280014150","Lisna","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.27","6280014149","Nafa Aswanda","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.27","6280014148","Anett","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.27","6280014147","Rara","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.27","6280014146","Miftah","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.27","6280014145","Della","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.26","6280013143","Keisha","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.26","6280013142","lalita","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.26","6280013141","Ocha","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.26","6280013140","Ihsan","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.26","6280013139","HANA","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.25","6280013138","Syska","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.25","6280013137","Syifa Zulfa","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.25","6280012136","Galih","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.25","6280012135","abay","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.25","6280012134","Nina Dwi Suryani","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.25","6280012132","Nopen","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.24","6280012131","AM. Yulia Mutmainah","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.24","6280012129","widyaloka","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.23","6280011125","Shelly Ayu Safitri","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.23","6280011124","Bela","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.23","6280011123","Tiffani Agil","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.23","6280011122","Maylisa","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.23","6280011121","Della fitriana","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.23","6280011120","Naumi","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.23","6280011119","Syifa","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.22","6280010118","kelas 2b (faiza)","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.22","6280010117","Arneta","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.22","6280010116","Bening","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.22","6280010115","Kanna","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.22","6280010114","Navan HES A","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.22","6280010113","Mayzela","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.21","6280009110","Aryandito","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.21","6280009109","Nasywa","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.21","6280009107","Nabilla Epiztiany","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.21","6280009106","3. Naufal","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.20","6280009105","Aliya","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.20","6280008103","8.Frista Savitri","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.20","6280008102","7.Fahmy Bagas","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.20","6280008101","3.Desni","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.20","6280008100","2. Aula Hani","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.19","6280008099","Afifah","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.19","6280008098","Fadlah Faqih Masho","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.19","6280008097","Berliana","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.18","6280008096","Delfi","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.52","6280008095","Muhamad Rizki","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.52","6280008094","Nidaul","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.51","6280008093","Adioni","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.51","6280007092","Gita","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.51","6280007091","TBMM EKSTREMITAS","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.50","6280006089","Akbar","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.50","6280006088","mohamad tri guntoro","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.50","6280006087","laila","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.49","6280006086","helmi","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.49","6280006085","Johan","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.48","6280006084","Regita","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.48","6280006083","Salsa Bella Aryana","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.48","6280006082","Uwi","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.48","6280006081","Kebagoran","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.47","6280006080","Nadi Indra F","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.47","6280005079","Nissa","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.47","6280005078","Rafa Ghiyas","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.46","6280005077","PSDA Bahagia","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.46","6280005076","Fida","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.46","6280005075","Cahya Juwita","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.45","6280005074","Bintang","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.45","6280005073","Alif Arhansyah","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.45","6280004072","wahyu puji prasetio","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.45","6280004071","Zhafira Azfa","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.45","6280004070","Ama","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.44","6280004069","Muhammad Adam Hifar","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.44","6280004068","Lembata","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.43","6280004067","Aisha","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.42","6280004066","Aditiya Fauzi","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.42","6280004065","Ananda Yasmin","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.42","6280004064","Wildan","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.41","6280004063","Gibran","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.40","6280004062","Sandi Mugiyono","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.40","6280004061","Sulis Setianti","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.39","6280004060","mila","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.39","6280004059","Davita","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.38","6280003058","Fianto","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.38","6280003056","Decky Sapta","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.38","6280003055","cut auriel","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.37","6280003054","KKN Kalikajar","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.37","6280003053","Luceriza","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.37","6280003052","Athia","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.37","6280003051","Jager","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.36","6280003050","maria taffi","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.36","6280003049","Dhita","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.35","6280003048","Farrel Daffa","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.35","6280003047","Futsal UIN Saizu","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.34","6280003046","andin","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.34","6280003045","Deri Dernata","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.34","6280003044","Akira Aditya","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.34","6280003043","Ardi","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.34","6280003042","Raka","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.34","6280003041","Atiesa dkk","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.33","6280002040","Diarra Fathiya","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.33","6280002039","Aya","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.33","6280002038","aisha","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.33","6280002037","Hanifah nur S","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.33","6280002036","Allez galan","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.32","6280002035","Nanda Putri Sabila","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.32","6280002034","Hanifa","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.31","6280002033","Adinda Fahrina","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.31","6280002032","Qori Susi Allifah","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.31","6280002031","Reynaldo","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.30","6280002030","Isty Fadielah","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.29","6280002029","Deo Putra","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.29","6280002028","Luqmanul Hakim","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.28","6280002027","Atika","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.28","6280002026","Flower","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.28","6280002025","Refanie Karunia Bernardi","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.28","6280002024","rindi setynai","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.28","6280002023","Feby Putri","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.27","6280001022","Niko","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.27","6280001021","Nayla","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.27","6280001019","Marcellia Eki Christine","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.26","6280001017","Ria","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.26","6280001016","Zahra Nur","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.26","6280001015","Jasmine Malaeka P","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.25","6280001014","Anjani","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.25","6280001013","Sumberejo","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.24","6280001012","Renaldi","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.24","6280001011","Maulida Jundana","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.23","6280001010","Muhamad Abdau","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.22","6280001009","Anto","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.22","6280001007","Zhafira Rismalia","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.21","6280001006","Stevy","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.21","6280001005","Sela Artiana","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.21","6280001004","Fauzan","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.20","6280001003","Ergi Mahandika","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.20","6280001002","Hanif","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.24.19","6280001001","Denny Hardiansyah","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.22.51","6285156109389","Asa","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"23/9/2026, 20.39.18","6285726556319","Nana_","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 20.38.27","6285200857770","Icca Lestari","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 20.35.50","6285723880343","adleyl","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"23/9/2026, 20.24.19","6281388990011","Keluarga dr. Hendra","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 20.24.19","6285712345678","Dimas Prasetyo (Wisuda UGM)","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 20.24.18","6281298765432","Amanda & Fajar","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 20.18.21","6281317023116","mel","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"23/9/2026, 20.09.47","628214352094","tiararamadhani","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 20.04.24","62895422475764","rhs","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"23/9/2026, 20.02.09","6285799833023","delad","QUALIFIED","","HOT (30)","Admin CS","","","","","COMPLETED"
"23/9/2026, 19.55.00","6285702573219","nartokus59","ENGAGED","","COLD (30)","Admin CS","","","","","COMPLETED"
"23/9/2026, 19.50.19","6285947381734","Fellya","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 19.49.52","62895615999996","dy","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"23/9/2026, 19.43.04","6281247966136","Dedik Purwanto","QUALIFIED","","HOT (60)","Admin CS","","","","","COMPLETED"
